SiteNo;Site;Location;sowdate
5;Egypt;Aswan;20.11.1980
9;Netherlands;Wageningen;05.11.1980
15;UK;Rothamsted;15.10.1980
16;France;Estrees-Mons;05.10.1980
17;France;Orleans;20.10.1980
18;Germany;Schleswig;25.09.1980
27;Russia;Krasnodar;15.09.1980
28;Ukraine;Poltava;15.09.1980
29;Turkey;Izmir;15.11.1980
