Site 36;;;;;;;;;;;;;;
Josephsburg, Canada;;;;;;;;;;;;;;
Soil Description: Luvic Chernozem (CHl);;;;;;;;;;;;;;
Potential rooting depth: 110cm;;;;;;;;;;;;;;
Parameter;Depth;Lower limit;Drained upper    limit;Saturation;Saturated hydraulic conductivity;Bulk density;Organic C;pH;Sand;Silt;Clay;Initial water content;Initial nitrate conc;Initial ammonium conc
Units;cm;mm3/mm3;mm3/mm3;mm3/mm3;(mm/day);g/cm3;(%);;(%);(%);(%);mm3/mm3;ppm;ppm
%;sllb;slll;sldul;slsat;sksat;slbdm;sloc;slph;SLSA;SLSI;SLCL;sliwat;slinconc;sliammon
;0-5;0.185;0.354;0.429;0.20;1.380;4.60;6.4;6.0;24.0;70.0;0.185;2.336;0.467
;5-10;0.185;0.354;0.429;0.20;1.380;4.60;6.4;6.0;24.0;70.0;0.185;2.336;0.467
;10-20;0.221;0.366;0.414;0.11;1.450;3.20;6.8;4.5;20.5;75.0;0.366;2.146;0.429
;20-30;0.256;0.378;0.398;0.02;1.520;1.80;7.1;3.0;17.0;80.0;0.378;1.984;0.397
;30-40;0.236;0.357;0.375;0.02;1.600;1.00;7.2;2.0;14.0;84.0;0.357;1.984;0.397
;40-50;0.236;0.357;0.375;0.02;1.600;1.00;7.2;2.0;14.0;84.0;0.357;1.923;0.385
;50-60;0.236;0.388;0.525;0.48;1.200;0.80;7.6;1.0;14.0;85.0;0.388;1.923;0.385
;60-70;0.236;0.388;0.525;0.48;1.200;0.80;7.6;1.0;14.0;85.0;0.388;1.923;0.385
;70-90;0.236;0.388;0.538;0.58;1.180;0.77;8.3;0.8;13.0;86.3;0.329;1.88;0.376
;90-110;0.236;0.388;0.540;0.59;1.180;0.69;8.5;0.0;14.0;86.0;0.236;1.88;0.376
;110-130;0.236;0.388;0.540;0.59;1.180;0.69;8.5;0.0;14.0;86.0;0.236;1.88;0.376
;130-150;0.236;0.388;0.540;0.59;1.180;0.69;8.5;0.0;14.0;86.0;0.236;1.88;0.376
;150-170;0.236;0.388;0.540;0.59;1.180;0.69;8.5;0.0;14.0;86.0;0.236;1.866;0.373
;170-190;0.236;0.388;0.540;0.59;1.180;0.69;8.5;0.0;14.0;86.0;0.236;1.852;0.37
;190-210;0.236;0.388;0.540;0.59;1.180;0.69;8.5;0.0;14.0;86.0;0.236;1.852;0.37
