SiteNo;Site;Location;Year;sowdate
31;Itapúa, Paraguay;PAIT;1981;25_May_1981
31;Itapúa, Paraguay;PAIT;1982;08_Jun_1982
31;Itapúa, Paraguay;PAIT;1983;26_May_1983
31;Itapúa, Paraguay;PAIT;1984;03_Jun_1984
31;Itapúa, Paraguay;PAIT;1985;25_May_1985
31;Itapúa, Paraguay;PAIT;1986;25_May_1986
31;Itapúa, Paraguay;PAIT;1987;03_Jun_1987
31;Itapúa, Paraguay;PAIT;1988;25_May_1988
31;Itapúa, Paraguay;PAIT;1989;03_Jun_1989
31;Itapúa, Paraguay;PAIT;1990;28_May_1990
31;Itapúa, Paraguay;PAIT;1991;25_May_1991
31;Itapúa, Paraguay;PAIT;1992;25_May_1992
31;Itapúa, Paraguay;PAIT;1993;30_May_1993
31;Itapúa, Paraguay;PAIT;1994;25_May_1994
31;Itapúa, Paraguay;PAIT;1995;09_Jun_1995
31;Itapúa, Paraguay;PAIT;1996;25_May_1996
31;Itapúa, Paraguay;PAIT;1997;25_May_1997
31;Itapúa, Paraguay;PAIT;1998;26_May_1998
31;Itapúa, Paraguay;PAIT;1999;27_May_1999
31;Itapúa, Paraguay;PAIT;2000;04_Jun_2000
31;Itapúa, Paraguay;PAIT;2001;25_May_2001
31;Itapúa, Paraguay;PAIT;2002;30_May_2002
31;Itapúa, Paraguay;PAIT;2003;04_Jun_2003
31;Itapúa, Paraguay;PAIT;2004;25_May_2004
31;Itapúa, Paraguay;PAIT;2005;25_May_2005
31;Itapúa, Paraguay;PAIT;2006;05_Jun_2006
31;Itapúa, Paraguay;PAIT;2007;25_May_2007
31;Itapúa, Paraguay;PAIT;2008;29_May_2008
31;Itapúa, Paraguay;PAIT;2009;25_May_2009
31;Itapúa, Paraguay;PAIT;2010;25_May_2010
32;Santa Rosa, Argentina;ARSR;1981;05_Jun_1981
32;Santa Rosa, Argentina;ARSR;1982;05_Aug_1982
32;Santa Rosa, Argentina;ARSR;1983;05_Aug_1983
32;Santa Rosa, Argentina;ARSR;1984;21_Jun_1984
32;Santa Rosa, Argentina;ARSR;1985;18_Jul_1985
32;Santa Rosa, Argentina;ARSR;1986;05_Aug_1986
32;Santa Rosa, Argentina;ARSR;1987;02_Jul_1987
32;Santa Rosa, Argentina;ARSR;1988;18_Jun_1988
32;Santa Rosa, Argentina;ARSR;1989;05_Jun_1989
32;Santa Rosa, Argentina;ARSR;1990;05_Aug_1990
32;Santa Rosa, Argentina;ARSR;1991;05_Jun_1991
32;Santa Rosa, Argentina;ARSR;1992;20_Jun_1992
32;Santa Rosa, Argentina;ARSR;1993;08_Jun_1993
32;Santa Rosa, Argentina;ARSR;1994;22_Jun_1994
32;Santa Rosa, Argentina;ARSR;1995;05_Aug_1995
32;Santa Rosa, Argentina;ARSR;1996;09_Jul_1996
32;Santa Rosa, Argentina;ARSR;1997;12_Jun_1997
32;Santa Rosa, Argentina;ARSR;1998;11_Jun_1998
32;Santa Rosa, Argentina;ARSR;1999;18_Jun_1999
32;Santa Rosa, Argentina;ARSR;2000;16_Jun_2000
32;Santa Rosa, Argentina;ARSR;2001;15_Jun_2001
32;Santa Rosa, Argentina;ARSR;2002;06_Jun_2002
32;Santa Rosa, Argentina;ARSR;2003;05_Aug_2003
32;Santa Rosa, Argentina;ARSR;2004;24_Jul_2004
32;Santa Rosa, Argentina;ARSR;2005;19_Jun_2005
32;Santa Rosa, Argentina;ARSR;2006;05_Aug_2006
32;Santa Rosa, Argentina;ARSR;2007;05_Aug_2007
32;Santa Rosa, Argentina;ARSR;2008;20_Jun_2008
32;Santa Rosa, Argentina;ARSR;2009;05_Aug_2009
32;Santa Rosa, Argentina;ARSR;2010;05_Aug_2010
33;Watkinsville, USA;USWA;1981;25_Nov_1980
33;Watkinsville, USA;USWA;1982;28_Nov_1981
33;Watkinsville, USA;USWA;1983;29_Nov_1982
33;Watkinsville, USA;USWA;1984;25_Nov_1983
33;Watkinsville, USA;USWA;1985;29_Nov_1984
33;Watkinsville, USA;USWA;1986;25_Nov_1985
33;Watkinsville, USA;USWA;1987;25_Nov_1986
33;Watkinsville, USA;USWA;1988;27_Nov_1987
33;Watkinsville, USA;USWA;1989;25_Nov_1988
33;Watkinsville, USA;USWA;1990;25_Nov_1989
33;Watkinsville, USA;USWA;1991;04_Dec_1990
33;Watkinsville, USA;USWA;1992;25_Nov_1991
33;Watkinsville, USA;USWA;1993;25_Nov_1992
33;Watkinsville, USA;USWA;1994;28_Nov_1993
33;Watkinsville, USA;USWA;1995;25_Nov_1994
33;Watkinsville, USA;USWA;1996;08_Dec_1995
33;Watkinsville, USA;USWA;1997;27_Nov_1996
33;Watkinsville, USA;USWA;1998;25_Nov_1997
33;Watkinsville, USA;USWA;1999;13_Dec_1998
33;Watkinsville, USA;USWA;2000;26_Nov_1999
33;Watkinsville, USA;USWA;2001;26_Nov_2000
33;Watkinsville, USA;USWA;2002;25_Nov_2001
33;Watkinsville, USA;USWA;2003;25_Nov_2002
33;Watkinsville, USA;USWA;2004;29_Nov_2003
33;Watkinsville, USA;USWA;2005;25_Nov_2004
33;Watkinsville, USA;USWA;2006;25_Nov_2005
33;Watkinsville, USA;USWA;2007;02_Dec_2006
33;Watkinsville, USA;USWA;2008;25_Nov_2007
33;Watkinsville, USA;USWA;2009;30_Nov_2008
33;Watkinsville, USA;USWA;2010;25_Nov_2009
34;Lind, USA;USLI;1981;14_Sep_1980
34;Lind, USA;USLI;1982;10_Oct_1981
34;Lind, USA;USLI;1983;13_Sep_1982
34;Lind, USA;USLI;1984;28_Oct_1983
34;Lind, USA;USLI;1985;24_Sep_1984
34;Lind, USA;USLI;1986;13_Sep_1985
34;Lind, USA;USLI;1987;19_Sep_1986
34;Lind, USA;USLI;1988;28_Oct_1987
34;Lind, USA;USLI;1989;20_Sep_1988
34;Lind, USA;USLI;1990;24_Oct_1989
34;Lind, USA;USLI;1991;16_Oct_1990
34;Lind, USA;USLI;1992;27_Oct_1991
34;Lind, USA;USLI;1993;28_Oct_1992
34;Lind, USA;USLI;1994;28_Oct_1993
34;Lind, USA;USLI;1995;28_Oct_1994
34;Lind, USA;USLI;1996;08_Sep_1995
34;Lind, USA;USLI;1997;20_Oct_1996
34;Lind, USA;USLI;1998;19_Sep_1997
34;Lind, USA;USLI;1999;28_Oct_1998
34;Lind, USA;USLI;2000;28_Oct_1999
34;Lind, USA;USLI;2001;28_Oct_2000
34;Lind, USA;USLI;2002;28_Oct_2001
34;Lind, USA;USLI;2003;28_Oct_2002
34;Lind, USA;USLI;2004;28_Oct_2003
34;Lind, USA;USLI;2005;28_Aug_2004
34;Lind, USA;USLI;2006;02_Oct_2005
34;Lind, USA;USLI;2007;17_Oct_2006
34;Lind, USA;USLI;2008;02_Oct_2007
34;Lind, USA;USLI;2009;28_Oct_2008
34;Lind, USA;USLI;2010;18_Oct_2009
35;Swift Current, Canada;CASC;1981;02_Jun_1981
35;Swift Current, Canada;CASC;1982;20_May_1982
35;Swift Current, Canada;CASC;1983;13_Jun_1983
35;Swift Current, Canada;CASC;1984;07_Jun_1984
35;Swift Current, Canada;CASC;1985;11_Jun_1985
35;Swift Current, Canada;CASC;1986;22_May_1986
35;Swift Current, Canada;CASC;1987;28_May_1987
35;Swift Current, Canada;CASC;1988;31_May_1988
35;Swift Current, Canada;CASC;1989;18_May_1989
35;Swift Current, Canada;CASC;1990;18_May_1990
35;Swift Current, Canada;CASC;1991;18_May_1991
35;Swift Current, Canada;CASC;1992;01_Jun_1992
35;Swift Current, Canada;CASC;1993;16_Jun_1993
35;Swift Current, Canada;CASC;1994;18_May_1994
35;Swift Current, Canada;CASC;1995;22_May_1995
35;Swift Current, Canada;CASC;1996;18_May_1996
35;Swift Current, Canada;CASC;1997;22_May_1997
35;Swift Current, Canada;CASC;1998;19_May_1998
35;Swift Current, Canada;CASC;1999;18_May_1999
35;Swift Current, Canada;CASC;2000;02_Jun_2000
35;Swift Current, Canada;CASC;2001;01_Jun_2001
35;Swift Current, Canada;CASC;2002;04_Jun_2002
35;Swift Current, Canada;CASC;2003;03_Jun_2003
35;Swift Current, Canada;CASC;2004;24_May_2004
35;Swift Current, Canada;CASC;2005;19_May_2005
35;Swift Current, Canada;CASC;2006;25_May_2006
35;Swift Current, Canada;CASC;2007;23_May_2007
35;Swift Current, Canada;CASC;2008;26_May_2008
35;Swift Current, Canada;CASC;2009;18_May_2009
35;Swift Current, Canada;CASC;2010;24_May_2010
36;Josephsburg, Canada;CAJO;1981;04_Jun_1981
36;Josephsburg, Canada;CAJO;1982;20_May_1982
36;Josephsburg, Canada;CAJO;1983;19_Jun_1983
36;Josephsburg, Canada;CAJO;1984;18_May_1984
36;Josephsburg, Canada;CAJO;1985;26_May_1985
36;Josephsburg, Canada;CAJO;1986;15_May_1986
36;Josephsburg, Canada;CAJO;1987;20_May_1987
36;Josephsburg, Canada;CAJO;1988;01_Jun_1988
36;Josephsburg, Canada;CAJO;1989;20_May_1989
36;Josephsburg, Canada;CAJO;1990;25_May_1990
36;Josephsburg, Canada;CAJO;1991;15_May_1991
36;Josephsburg, Canada;CAJO;1992;21_May_1992
36;Josephsburg, Canada;CAJO;1993;27_May_1993
36;Josephsburg, Canada;CAJO;1994;17_May_1994
36;Josephsburg, Canada;CAJO;1995;16_May_1995
36;Josephsburg, Canada;CAJO;1996;31_May_1996
36;Josephsburg, Canada;CAJO;1997;18_May_1997
36;Josephsburg, Canada;CAJO;1998;16_May_1998
36;Josephsburg, Canada;CAJO;1999;15_May_1999
36;Josephsburg, Canada;CAJO;2000;15_May_2000
36;Josephsburg, Canada;CAJO;2001;31_May_2001
36;Josephsburg, Canada;CAJO;2002;23_May_2002
36;Josephsburg, Canada;CAJO;2003;04_Jun_2003
36;Josephsburg, Canada;CAJO;2004;30_May_2004
36;Josephsburg, Canada;CAJO;2005;17_May_2005
36;Josephsburg, Canada;CAJO;2006;22_May_2006
36;Josephsburg, Canada;CAJO;2007;11_Jun_2007
36;Josephsburg, Canada;CAJO;2008;22_May_2008
36;Josephsburg, Canada;CAJO;2009;17_Jun_2009
36;Josephsburg, Canada;CAJO;2010;22_May_2010
37;Ventas Huelma, Spain;SPVH;1981;18_Feb_1981
37;Ventas Huelma, Spain;SPVH;1982;18_Dec_1981
