Site 35;;;;;;;;;;;;;;
Swift Current, Canada;;;;;;;;;;;;;;
Soil Description: Eutric Cambisol (CMe);;;;;;;;;;;;;;
Potential rooting depth: 150cm;;;;;;;;;;;;;;
Parameter;Depth;Lower limit;Drained upper    limit;Saturation;Saturated hydraulic conductivity;Bulk density;Organic C;pH;Sand;Silt;Clay;Initial water content;Initial nitrate conc;Initial ammonium conc
Units;cm;mm3/mm3;mm3/mm3;mm3/mm3;(mm/day);g/cm3;(%);;(%);(%);(%);mm3/mm3;ppm;ppm
%;sllb;slll;sldul;slsat;sksat;slbdm;sloc;slph;SLSA;SLSI;SLCL;sliwat;slinconc;sliammon
;0-5;0.069;0.214;0.436;4.41;1.380;1.59;6.5;66.0;18.0;16.0;0.069;2.336;0.467
;5-10;0.069;0.214;0.436;4.41;1.380;1.59;6.5;66.0;18.0;16.0;0.069;2.336;0.467
;10-20;0.067;0.210;0.433;4.64;1.390;1.46;6.6;64.4;19.0;16.6;0.210;2.146;0.429
;20-30;0.060;0.194;0.421;5.54;1.430;0.94;6.8;58.0;23.0;19.0;0.194;1.984;0.397
;30-40;0.072;0.203;0.414;4.77;1.450;0.86;6.9;60.4;21.4;18.2;0.203;1.984;0.397
;40-50;0.120;0.240;0.387;1.68;1.530;0.52;7.2;70.0;15.0;15.0;0.240;1.923;0.385
;50-60;0.116;0.235;0.380;1.71;1.558;0.43;7.3;71.4;13.6;15.0;0.235;1.923;0.385
;60-70;0.114;0.233;0.377;1.72;1.570;0.39;7.4;72.0;13.0;15.0;0.233;1.923;0.385
;70-90;0.066;0.159;0.372;16.38;1.587;0.24;7.5;77.0;11.4;11.7;0.159;1.88;0.376
;90-110;0.026;0.099;0.368;28.38;1.600;0.12;7.5;81.0;10.0;9.0;0.049;1.88;0.376
;110-130;0.026;0.099;0.368;28.38;1.600;0.12;7.5;81.0;10.0;9.0;0.026;1.88;0.376
;130-150;0.026;0.099;0.368;28.38;1.600;0.12;7.5;81.0;10.0;9.0;0.026;1.88;0.376
;150-170;0.026;0.099;0.368;28.38;1.600;0.12;7.5;81.0;10.0;9.0;0.026;1.866;0.373
;170-190;0.026;0.099;0.368;28.38;1.600;0.12;7.5;81.0;10.0;9.0;0.026;1.852;0.37
;190-210;0.026;0.099;0.368;28.38;1.600;0.12;7.5;81.0;10.0;9.0;0.026;1.852;0.37
